Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
12500.0,2008-11-16,New Poker Product Ready after 1 yr Dev !,673.0,0.81%,941xx,CA,2 years,0.0
25000.0,2008-04-07,Looking to better our home,417.0,27.2%,440xx,OH,4 years,0.0
1000.0,2008-12-11,KIDS,507.0,56.51%,770xx,TX,4 years,0.0
8000.0,2008-01-21,Hoopa32,530.0,6.32%,954xx,CA,10+ years,0.0
3000.0,2008-11-19,Tracey's loan,592.0,20.64%,234xx,VA,10+ years,0.0
12500.0,2009-02-04,Entertainment Business Seeking Funds,446.0,8.16%,100xx,NY,1 year,0.0
5000.0,2009-04-20,student loan,0.0,0%,071xx,NJ,1 year,0.0
10000.0,2007-11-23,gigglebug89,454.0,3.85%,471xx,IN,< 1 year,0.0
5000.0,2009-01-31, ,687.0,28.62%,112xx,NY,< 1 year,0.0
9000.0,2008-02-06,Jyoung1269,0.0,0%,028xx,RI,10+ years,0.0
5000.0,2007-09-28,jgnapoli,608.0,18.14%,381xx,TN,< 1 year,0.0
15000.0,2008-07-16,Open small bakery/cafe,605.0,2.3%,959xx,CA,10+ years,0.0
7000.0,2009-01-06,Need loan quick! ,565.0,3.28%,402xx,KY,2 years,0.0
2000.0,2009-01-27,rent/ credit card debt,662.0,1.11%,917xx,CA,2 years,0.0
2000.0,2008-04-15,AC,519.0,16.54%,325xx,FL,2 years,0.0
1000.0,2009-01-21,Consolidate Credit Card Debt,487.0,4.2%,559xx,MN,1 year,0.0
2000.0,2008-06-09,Our Dream Wedding,664.0,106.62%,468xx,IN,2 years,0.0
5000.0,2008-12-29,Jessica,516.0,0%,334xx,FL,< 1 year,0.0
1000.0,2008-04-09,Study Abroad Loan,0.0,0%,276xx,NC,< 1 year,0.0
3000.0,2008-02-05,BJH,695.0,23.07%,333xx,FL,6 years,0.0
5950.0,2008-05-22,Personal Loan,0.0,0%,130xx,NY,1 year,0.0
3000.0,2008-03-09,pay bills,410.0,-1%,,,< 1 year,0.0
15000.0,2008-03-27,debt_consolidation,714.0,25.29%,082xx,NJ,< 1 year,0.0
5000.0,2008-03-18,Renew Vows-Wedding,663.0,15.21%,756xx,TX,10+ years,0.0
3500.0,2008-08-26,fill the gaps,448.0,105.54%,522xx,IA,4 years,0.0
5000.0,2008-08-30,Consolidate Debt/Start-up Online busines,642.0,60.08%,462xx,IN,4 years,0.0
6000.0,2008-05-02,"My home, my own place",606.0,15.15%,322xx,FL,3 years,0.0
7500.0,2008-06-23,debt pay off/personal use/ get back on m,525.0,37.56%,591xx,MT,5 years,0.0
1000.0,2008-10-20,personal financial loan,647.0,0.46%,236xx,VA,1 year,0.0
1000.0,2008-08-23,Car expense,532.0,11.16%,112xx,NY,< 1 year,0.0
15000.0,2008-03-22,pay of high intrest rates with 1 payment,607.0,24.58%,291xx,SC,10+ years,0.0
3000.0,2009-05-08,Student Loan,533.0,0%,163xx,PA,< 1 year,0.0
7500.0,2008-01-13,stick,533.0,19.17%,614xx,IL,10+ years,0.0
5000.0,2007-11-04,Jolfstn,547.0,4.24%,999xx,AK,4 years,0.0
1000.0,2008-04-23,"Need to have dental work (braces, etc.)",634.0,2.93%,531xx,WI,1 year,0.0
6500.0,2009-03-28,debt consolidation,532.0,11.85%,303xx,GA,< 1 year,0.0
1300.0,2008-03-25,general loan to cover daily expenses,636.0,79.18%,020xx,MA,< 1 year,0.0
22000.0,2009-05-12, ,0.0,1.66%,117xx,NY,< 1 year,0.0
1000.0,2008-02-26,Chemo Treatments for My Mom ,618.0,14.95%,453xx,OH,10+ years,0.0
5000.0,2008-12-08,Need Loan for college,682.0,5.31%,301xx,GA,< 1 year,0.0
5000.0,2008-12-17, ,659.0,15.05%,941xx,CA,7 years,0.0
12075.0,2009-05-11,Motorcycle Refinance,661.0,14.11%,481xx,MI,< 1 year,0.0
5000.0,2009-04-02,Unexpected Bills,489.0,0%,200xx,DC,8 years,0.0
5000.0,2008-03-21,Motorcycle Purchase,722.0,7.5%,341xx,FL,< 1 year,0.0
7000.0,2008-04-05,Credit Cards,658.0,52.44%,936xx,CA,5 years,0.0
7500.0,2008-08-20,Two Monster Loans,637.0,22.59%,347xx,FL,< 1 year,0.0
5900.0,2008-03-29,I need help fixing my bathroom ,477.0,27.22%,640xx,MO,< 1 year,0.0
3500.0,2008-05-16,CAR,658.0,17.41%,210xx,MD,1 year,0.0
15000.0,2009-02-13,Start up Loan,542.0,14.96%,921xx,CA,7 years,0.0
2000.0,2008-11-17,Getting out of debt,567.0,1.06%,986xx,WA,2 years,0.0
5000.0,2007-10-30,shawn.b85,496.0,2.12%,797xx,TX,1 year,0.0
4000.0,2009-04-30,meng fang wang,651.0,0.5%,910xx,CA,2 years,0.0
6000.0,2008-05-01,Need help with debt trouble.,618.0,31.5%,012xx,MA,1 year,0.0
10000.0,2008-11-18, ,692.0,0.78%,112xx,NY,< 1 year,0.0
1000.0,2008-07-30,Rent help!,433.0,14.72%,900xx,CA,< 1 year,0.0
1000.0,2008-04-22,Looking to Build my Credit,718.0,1.79%,701xx,LA,< 1 year,0.0
5500.0,2007-07-13,akademiks,0.0,1.34%,072xx,NJ,< 1 year,0.0
6500.0,2007-09-27,acy214,489.0,0%,762xx,TX,2 years,0.0
7000.0,2008-06-23,Consalidating Life,533.0,0%,122xx,NY,2 years,0.0
10000.0,2009-05-05,Looking for assistance so i may assist u,722.0,3.14%,082xx,NJ,< 1 year,0.0
15500.0,2009-04-03,Consolidate to one monthly payment,653.0,9%,186xx,PA,8 years,0.0
7500.0,2008-02-10,tb1983,668.0,22.99%,018xx,MA,1 year,0.0
20000.0,2009-03-12,Tanning Salon,654.0,7.24%,791xx,TX,10+ years,0.0
4000.0,2009-03-17, ,697.0,40.61%,152xx,PA,5 years,0.0
20000.0,2007-12-22,debt_consolidation,734.0,28.47%,683xx,NE,10+ years,0.0
20000.0,2009-02-17, ,0.0,0%,606xx,IL,< 1 year,0.0
3000.0,2008-12-18,paying down my debt,422.0,22.62%,488xx,MI,10+ years,0.0
7500.0,2008-06-17,Business Loan,424.0,2.35%,321xx,FL,1 year,0.0
7000.0,2008-04-11,old home,502.0,0%,532xx,WI,< 1 year,0.0
7000.0,2009-04-12, ,703.0,30.58%,980xx,WA,1 year,0.0
12100.0,2008-03-07,New Wife's High-Interest Account,602.0,13.46%,535xx,WI,< 1 year,0.0
1000.0,2009-05-06,EDUCATION ,802.0,5.31%,701xx,LA,6 years,0.0
12000.0,2007-11-18,pat46750,395.0,0%,467xx,IN,2 years,0.0
5000.0,2007-10-30,aloha03rach,477.0,36.33%,988xx,WA,1 year,0.0
5000.0,2009-02-18,Dental Work Loan,421.0,5.05%,220xx,VA,< 1 year,0.0
10000.0,2008-10-31,aderby25 Loan,527.0,4.1%,852xx,AZ,< 1 year,0.0
10500.0,2008-02-25,rae927,629.0,25.15%,039xx,ME,5 years,0.0
15000.0,2008-01-12,major_purchase,678.0,16.32%,952xx,CA,6 years,0.0
25000.0,2008-03-24,Business and Personal,723.0,15.58%,341xx,FL,10+ years,0.0
4500.0,2008-01-17,I need to pay off my parents for school,683.0,1.03%,531xx,WI,< 1 year,0.0
10000.0,2007-11-28,Lankie,584.0,12.77%,875xx,NM,10+ years,0.0
10000.0,2008-02-17,chakira,676.0,16.56%,941xx,CA,6 years,0.0
1400.0,2008-04-05,"Debt fro Masters degree, job switch",650.0,51.11%,850xx,AZ,< 1 year,0.0
18000.0,2009-05-12,Consolidation,588.0,21.14%,027xx,MA,1 year,0.0
15000.0,2008-02-05,DESI,639.0,28.13%,010xx,MA,6 years,0.0
4500.0,2009-04-02,major purchase,627.0,23.01%,088xx,NJ,2 years,0.0
3100.0,2009-04-16,Credit Card Consolidation Loan Request,711.0,15.49%,208xx,MD,5 years,0.0
15000.0,2008-03-24,Payment of all my debts,485.0,27.76%,009xx,PA,10+ years,0.0
1500.0,2008-12-17,PAYING BILL,564.0,1.28%,334xx,FL,5 years,0.0
20000.0,2009-01-10, ,732.0,20.19%,130xx,NY,3 years,0.0
15000.0,2009-02-04,consolidate debt,675.0,31.63%,446xx,OH,9 years,0.0
25000.0,2009-01-24,mobile taco stand in hawaii,683.0,1.95%,967xx,HI,5 years,0.0
1000.0,2009-03-23,patty's loan pay off,547.0,22.15%,967xx,HI,4 years,0.0
13000.0,2009-03-16, ,766.0,42.69%,640xx,MO,10+ years,0.0
6000.0,2008-04-07,DogCatRadio.com (NY Times' most emailed),683.0,50.88%,900xx,CA,5 years,0.0
5000.0,2008-06-23,Rough Patch In Life,592.0,24.4%,430xx,OH,1 year,0.0
10000.0,2009-03-23,Motorcycle Loan,578.0,12.74%,958xx,CA,10+ years,0.0
10000.0,2007-11-22,rusty45,616.0,6%,657xx,MO,1 year,0.0
15000.0,2008-02-08,debt_consolidation,719.0,30.33%,278xx,NC,10+ years,0.0
23000.0,2007-11-29,debt_consolidation,726.0,41.13%,881xx,NM,10+ years,0.0
3000.0,2008-11-25,payoff credit cards,501.0,12.5%,606xx,IL,10+ years,0.0
12000.0,2009-03-16,pay credit card debt,603.0,18.78%,902xx,CA,< 1 year,0.0
7500.0,2008-08-07,Debt Consolidation,569.0,12.34%,212xx,MD,3 years,0.0
25000.0,2009-05-13,for me to go to school,476.0,0%,796xx,TX,< 1 year,0.0
1500.0,2008-04-10,Debt Consoilidation,434.0,8.26%,207xx,MD,< 1 year,0.0
7500.0,2008-04-21,Home down payment,0.0,0%,503xx,IA,< 1 year,0.0
10000.0,2009-02-23,See you multiple payments,714.0,25.48%,450xx,OH,10+ years,0.0
10000.0,2009-03-12,Hard Times,570.0,24.18%,088xx,NJ,3 years,0.0
5500.0,2008-03-11,Debt consolidation,508.0,-1%,,,< 1 year,0.0
5000.0,2008-11-24,Personal Loan,672.0,0.75%,480xx,MI,10+ years,0.0
6500.0,2009-01-16,Need a car loan,630.0,8.03%,366xx,AL,1 year,0.0
11000.0,2007-11-09,grivera79,599.0,36.27%,301xx,GA,5 years,0.0
3000.0,2009-04-09,Need Down Payment For A Car...,647.0,0%,967xx,HI,< 1 year,0.0
4000.0,2009-02-20,Debt Consolidation,659.0,11.95%,144xx,NY,10+ years,0.0
4000.0,2009-01-15, ,668.0,2.93%,760xx,TX,3 years,0.0
25000.0,2007-10-06,Eagle,739.0,47.76%,293xx,SC,10+ years,0.0
25000.0,2009-05-12,Home Improvement Loan,769.0,14.28%,225xx,VA,6 years,0.0
10000.0,2008-07-13,School Loan ,513.0,11.45%,757xx,TX,< 1 year,0.0
6000.0,2008-06-19,Education and debt repayment,660.0,0%,221xx,VA,< 1 year,0.0
9000.0,2008-12-10,consolidation,564.0,15.52%,038xx,NH,1 year,0.0
15000.0,2008-12-22,Loan for American Career Training Inst.,406.0,36.13%,306xx,GA,< 1 year,0.0
1800.0,2008-10-19,Oral Surgery,647.0,1.06%,240xx,VA,< 1 year,0.0
14525.0,2008-01-17,Snape,688.0,26.9%,925xx,CA,10+ years,0.0
24000.0,2009-02-18, ,669.0,30.04%,224xx,VA,1 year,0.0
3000.0,2008-12-22, ,732.0,0.38%,217xx,MD,4 years,0.0
10000.0,2008-12-04,Better Debt,740.0,39.44%,757xx,TX,4 years,0.0
15000.0,2008-12-28,fallen,508.0,12.37%,923xx,CA,10+ years,0.0
10000.0,2008-10-28,Pay back the bank.,425.0,6.42%,295xx,SC,< 1 year,0.0
9000.0,2008-02-01,debt_consolidation,671.0,24.72%,153xx,PA,< 1 year,0.0
20000.0,2009-05-05, ,689.0,33.98%,410xx,KY,10+ years,0.0
20000.0,2008-12-05,Consolidate debt & business loan,731.0,26.24%,333xx,FL,6 years,0.0
2500.0,2008-12-28,Business start up loan,547.0,15.97%,974xx,OR,< 1 year,0.0
2000.0,2009-05-06,Borrowing for Investing; Can cover now,700.0,1.14%,907xx,CA,< 1 year,0.0
25000.0,2007-10-02,ALSTO40,587.0,19%,335xx,FL,9 years,0.0
2000.0,2008-11-07,Auto Repair Emergency!,629.0,9.77%,365xx,AL,3 years,0.0
1500.0,2009-04-24,Looking for short term loan ,669.0,17.1%,026xx,MA,9 years,0.0
20000.0,2009-01-30,Personnel,425.0,16.77%,992xx,WA,1 year,0.0
10000.0,2008-02-07,dustin0811,470.0,0.57%,900xx,CA,5 years,0.0
16222.0,2009-03-22, ,657.0,23.95%,550xx,MN,1 year,0.0
5600.0,2009-01-08,Pay School Bills off,574.0,38%,339xx,FL,4 years,0.0
3500.0,2009-03-08,major purchase,517.0,19.01%,532xx,WI,8 years,0.0
2000.0,2007-12-04,awright,545.0,100.34%,815xx,CO,9 years,0.0
7500.0,2008-08-15,Growing a Better Business,552.0,81.84%,325xx,FL,< 1 year,0.0
25000.0,2009-03-16,Start Up small buniess,622.0,13.78%,440xx,OH,4 years,0.0
19000.0,2008-01-22,debt_consolidation,740.0,32.24%,451xx,OH,10+ years,0.0
5000.0,2008-03-10,Finish 1956 Chevy 210 2 dr Sedan,720.0,22.45%,640xx,MO,1 year,0.0
8000.0,2008-03-18,Starting a family,734.0,0.97%,852xx,AZ,1 year,0.0
20000.0,2007-12-20,other,716.0,9.64%,285xx,NC,6 years,0.0
20000.0,2009-02-15,Credit Card Payoff,680.0,18.7%,951xx,CA,1 year,0.0
2000.0,2008-12-14,Debt Payoff,563.0,0%,672xx,KS,< 1 year,0.0
1000.0,2009-03-09,waiting on my student loans,0.0,0%,321xx,FL,1 year,0.0
5600.0,2009-02-12,Consolidate credit cards,485.0,18.17%,232xx,VA,1 year,0.0
25000.0,2009-05-16,Kitchen Remodeling,703.0,16.57%,330xx,FL,3 years,0.0
3500.0,2008-11-16,car/moving costs,639.0,0%,482xx,MI,3 years,0.0
5000.0,2008-07-08,Need help paying down debt,634.0,8.88%,193xx,PA,< 1 year,0.0
5000.0,2009-03-30,Medical Expenses,476.0,17.35%,074xx,NJ,2 years,0.0
1250.0,2008-01-14,bstevenson05,520.0,6.61%,060xx,CT,2 years,0.0
25000.0,2008-03-26,School Expenses,678.0,28.6%,212xx,MD,2 years,0.0
22000.0,2007-10-09,bizmandev,598.0,6.61%,730xx,OK,1 year,0.0
5000.0,2008-02-20,t.mdozier,625.0,48.6%,335xx,FL,4 years,0.0
20000.0,2009-03-01,New Business Expansion,629.0,23.25%,559xx,MN,1 year,0.0
20000.0,2008-12-10,Starting a family....,645.0,24.02%,088xx,NJ,1 year,0.0
4500.0,2008-11-22,Payoff Bills,489.0,226.96%,231xx,VA,< 1 year,0.0
5000.0,2008-04-24,Personal Loan,492.0,55.72%,338xx,FL,< 1 year,0.0
2000.0,2008-03-05,other,671.0,5.17%,450xx,OH,2 years,0.0
5000.0,2007-08-08,Dewey,623.0,51.16%,554xx,MN,10+ years,0.0
20000.0,2008-10-23, ,651.0,55.31%,813xx,CO,< 1 year,0.0
4500.0,2008-12-19,BUYING,0.0,0%,352xx,AL,1 year,0.0
21000.0,2009-05-04, ,716.0,30.67%,724xx,AR,4 years,0.0
10000.0,2008-04-24, ,677.0,30.23%,840xx,UT,2 years,0.0
2000.0,2007-12-06,angelademahy,496.0,8.01%,330xx,FL,2 years,0.0
25000.0,2007-10-12,smith97,687.0,21.81%,440xx,OH,2 years,0.0
7500.0,2009-01-13,Credit Card debt,569.0,21.9%,532xx,WI,1 year,0.0
4000.0,2008-10-20,a personal loan for paying my debts,498.0,59.03%,539xx,WI,3 years,0.0
5000.0,2007-10-09,griffina21,556.0,38.63%,065xx,CT,3 years,0.0
4000.0,2008-08-26,Adding a bedroom for my son.,441.0,27.97%,953xx,CA,3 years,0.0
7500.0,2008-08-06,Credit Card Consolidation,739.0,11.9%,617xx,IL,< 1 year,0.0
10000.0,2009-04-10,Red ,437.0,12.94%,080xx,NJ,10+ years,0.0
1000.0,2008-09-09,freedom,471.0,40%,497xx,MI,3 years,0.0
7500.0,2008-05-24,Lease to Own Contract nearing end...,0.0,0%,980xx,WA,10+ years,0.0
3000.0,2009-03-12,Get debt free,0.0,0%,574xx,SD,< 1 year,0.0
500.0,2008-01-07,jordan12,489.0,39.31%,660xx,KS,< 1 year,0.0
17500.0,2009-05-12,home,746.0,34.16%,765xx,TX,10+ years,0.0
5000.0,2008-09-19,Consolidate high interest credit cards ,586.0,4.56%,750xx,TX,1 year,0.0
2500.0,2008-05-09,the chance to finish my degree,573.0,24%,019xx,MA,4 years,0.0
16000.0,2008-01-19,williammary,636.0,13.05%,207xx,MD,2 years,0.0
3500.0,2008-10-27,School Loan,439.0,22.66%,330xx,FL,4 years,0.0
2000.0,2009-04-15,EDUCATION LOAN,589.0,2.93%,387xx,MS,10+ years,0.0
20000.0,2008-01-09,debt_consolidation,658.0,3.62%,070xx,NJ,< 1 year,0.0
15000.0,2008-04-07,hrental,599.0,0.69%,305xx,GA,5 years,0.0
2000.0,2008-07-10,Clean up credit,499.0,0%,980xx,WA,2 years,0.0
25000.0,2009-05-05,i need money to live,0.0,0%,112xx,NY,< 1 year,0.0
3000.0,2008-06-30,Seeking a debt consolidation loan,536.0,0.37%,275xx,NC,< 1 year,0.0
5000.0,2009-04-15,Student Loan,454.0,146%,021xx,MA,3 years,0.0
13000.0,2009-03-17, ,734.0,41.68%,761xx,TX,1 year,0.0
5000.0,2009-03-23,Loan for Debt,503.0,1.85%,606xx,IL,6 years,0.0
11750.0,2009-04-13, ,774.0,29.14%,390xx,MS,3 years,0.0
1000.0,2008-09-17,A Little Help,678.0,25.26%,276xx,NC,5 years,0.0
2700.0,2008-06-23,Credit card ,522.0,0%,604xx,IL,2 years,0.0
4500.0,2008-07-08,Department of Finance,666.0,12.65%,113xx,NY,1 year,0.0
24500.0,2008-03-11,investing in a business center,661.0,9.39%,212xx,MD,2 years,0.0
10000.0,2008-02-17,pepper615,587.0,2.26%,100xx,NY,10+ years,0.0
5000.0,2009-04-08,Need Bus for Day Care and Non-Profit,521.0,14.06%,295xx,SC,9 years,0.0
5000.0,2009-03-01,Debt,506.0,31.5%,233xx,VA,< 1 year,0.0
1000.0,2009-05-03,rental payment and medical,440.0,0.96%,492xx,MI,1 year,0.0
6000.0,2009-03-26,personal,562.0,16.28%,750xx,TX,2 years,0.0
12000.0,2008-12-05,Working Capital for Business,471.0,32.4%,181xx,PA,< 1 year,0.0
17900.0,2009-03-05, ,718.0,15.64%,627xx,IL,10+ years,0.0
15000.0,2009-02-12,Business LOC,712.0,5.02%,611xx,IL,2 years,0.0
24000.0,2008-03-24,Pay off credit card debt,646.0,8.69%,551xx,MN,< 1 year,0.0
3000.0,2009-03-03,Personal needs.,517.0,55.15%,850xx,AZ,8 years,0.0
10000.0,2009-03-13,buisness/school loan,566.0,0%,330xx,FL,4 years,0.0
1000.0,2007-06-29,dswilliams17,0.0,0%,794xx,TX,< 1 year,0.0
5000.0,2008-11-21,Consolidation Loan,0.0,0%,174xx,PA,5 years,0.0
5000.0,2009-02-03, ,650.0,0%,070xx,NJ,< 1 year,0.0
7000.0,2007-08-28,chirn9980,637.0,44.4%,450xx,OH,8 years,0.0
7200.0,2008-09-07,Paying down my credit cards,681.0,13.2%,537xx,WI,4 years,0.0
4000.0,2009-05-11,for bills,414.0,19.28%,361xx,AL,5 years,0.0
12000.0,2009-05-08, ,675.0,1.4%,601xx,IL,10+ years,0.0
3000.0,2008-11-22,Personal loan,511.0,18.56%,618xx,IL,< 1 year,0.0
25000.0,2009-04-24,student loan,657.0,20.54%,722xx,AR,6 years,0.0
5000.0,2007-11-05,TAD05,631.0,8.4%,700xx,LA,1 year,0.0
7500.0,2008-10-09,Praying for an answer ,525.0,14.93%,628xx,IL,< 1 year,0.0
12000.0,2008-11-29,Better Rates,658.0,5.34%,236xx,VA,< 1 year,0.0
3000.0,2007-10-22,LAWRENCE,587.0,16.29%,112xx,NY,6 years,0.0
15000.0,2009-01-19,Funding for Motorcycle Parts Store,652.0,8.9%,750xx,TX,3 years,0.0
21000.0,2007-12-05,Fairytale Wedding,792.0,9.14%,322xx,FL,6 years,0.0
5000.0,2008-07-10,Consolidate and Rebuild,0.0,0%,322xx,FL,5 years,0.0
8500.0,2008-02-12,Early.Ritirement,697.0,10.64%,554xx,MN,1 year,0.0
10000.0,2009-01-20,Consolidating Debt & Bills,700.0,72.92%,652xx,MO,5 years,0.0
25000.0,2008-04-04,Acquisition,695.0,24.38%,300xx,GA,10+ years,0.0
1000.0,2008-10-25,Starting A Web-Site,584.0,0%,077xx,NJ,1 year,0.0
9500.0,2008-03-19,personal loan,538.0,27%,633xx,MO,3 years,0.0
12000.0,2008-02-12,Lauren,795.0,21.1%,320xx,FL,10+ years,0.0
5000.0,2008-09-11,Personal,683.0,18.75%,294xx,SC,5 years,0.0
5000.0,2008-01-24,navygirl3118,457.0,67.25%,341xx,FL,3 years,0.0
18000.0,2009-04-24, ,652.0,43.84%,077xx,NJ,< 1 year,0.0
3000.0,2008-12-14,personal Loan,505.0,36.96%,302xx,GA,1 year,0.0
1000.0,2009-03-21,rent,594.0,8.56%,200xx,DC,3 years,0.0
20000.0,2009-03-11,Rebuilding Loan,485.0,8.94%,727xx,AR,< 1 year,0.0
4000.0,2008-03-04,bbennes,671.0,11.54%,580xx,ND,9 years,0.0
25000.0,2009-05-08,Debt Consolidaton Loan,721.0,27.47%,329xx,FL,1 year,0.0
8000.0,2008-03-01,KLD,643.0,23.37%,049xx,ME,10+ years,0.0
10000.0,2009-02-19,Pay off high interest cards,673.0,11.2%,950xx,CA,10+ years,0.0
4000.0,2009-04-07,Personal,515.0,10.92%,207xx,MD,3 years,0.0
5500.0,2009-01-21,Pay tax bill,648.0,35.87%,539xx,WI,4 years,0.0
15000.0,2009-01-15,Help if possible,524.0,38.56%,201xx,VA,2 years,0.0
5000.0,2008-11-09,3D Display Content Development,654.0,0.23%,902xx,CA,1 year,0.0
7000.0,2008-09-18,Get back on track,488.0,16%,799xx,TX,1 year,0.0
1500.0,2008-10-15,Pay off some credit cards,668.0,81.84%,100xx,NY,< 1 year,0.0
15000.0,2007-11-02,Mikecrawfish,660.0,34.88%,376xx,TN,10+ years,0.0
7000.0,2009-01-25,Breast Cancer Survivor and Soldier,560.0,31.02%,995xx,AK,10+ years,0.0
2000.0,2009-05-12,School loan,0.0,0%,550xx,MN,2 years,0.0
2700.0,2008-05-03,Help a new teacher get a car.,477.0,6.57%,752xx,TX,< 1 year,0.0
3000.0,2008-11-14,adam,700.0,8.66%,073xx,NJ,8 years,0.0
12000.0,2009-04-24, ,686.0,52.5%,920xx,CA,< 1 year,0.0
3500.0,2008-06-16,Kidney Stones equals medical bills...,608.0,11.96%,245xx,VA,8 years,0.0
20000.0,2008-01-12,debt_consolidation,685.0,24.38%,708xx,LA,1 year,0.0
2500.0,2008-05-27,2 MONTH LOAN . . . PLEASE HELP,476.0,395.2%,945xx,CA,3 years,0.0
20000.0,2007-11-29,readra21,458.0,0.72%,985xx,WA,7 years,0.0
7500.0,2007-07-21,mickisue,546.0,15.41%,551xx,MN,1 year,0.0
5000.0,2009-02-23,"Would like a better rate, please.",609.0,8.1%,722xx,AR,1 year,0.0
3000.0,2009-04-15,E-commerce,515.0,4.94%,236xx,VA,6 years,0.0
10000.0,2007-11-15,Family,685.0,0%,463xx,IN,4 years,0.0
7600.0,2009-04-24,College expenses,529.0,0%,633xx,MO,10+ years,0.0
8000.0,2009-05-01,Business Loan for new DJ Co!,612.0,6.6%,115xx,NY,8 years,0.0
18000.0,2008-03-07,Need money to payoff student loans,535.0,153.2%,071xx,NJ,3 years,0.0
5000.0,2007-08-20,Kojo,0.0,2.4%,404xx,KY,1 year,0.0
3000.0,2009-05-13,Money for School,474.0,0%,847xx,UT,3 years,0.0
3000.0,2009-05-01, ,715.0,0%,967xx,HI,2 years,0.0
20000.0,2008-04-05,Business Credit Loan,689.0,0%,582xx,ND,2 years,0.0
8000.0,2008-04-07,Desperate for help,504.0,57.03%,301xx,GA,2 years,0.0
15000.0,2008-07-11,Terry's credit card loan,580.0,48.26%,750xx,TX,1 year,0.0
10000.0,2007-10-30,khaney,411.0,12.43%,333xx,FL,< 1 year,0.0
4000.0,2008-03-11,4 wheeler,692.0,0.37%,215xx,MD,8 years,0.0
11600.0,2009-05-11,Re-Financing Car loan,576.0,21.09%,207xx,MD,3 years,0.0
10000.0,2008-04-06,"consolidate, medical and child care",510.0,15.12%,544xx,WI,10+ years,0.0
5000.0,2007-12-03,braddenj,519.0,0.5%,221xx,VA,3 years,0.0
2000.0,2008-04-09,CONTINUING SCHOOL,600.0,27.68%,331xx,FL,2 years,0.0
20000.0,2008-11-21, ,686.0,44.03%,743xx,OK,5 years,0.0
5000.0,2008-09-29,Get caught up,508.0,23.84%,890xx,NV,6 years,0.0
8000.0,2008-10-20,Business loan,533.0,9.33%,291xx,SC,5 years,0.0
9000.0,2007-08-15,chronicole,554.0,9.21%,972xx,WA,1 year,0.0
7500.0,2008-04-24,Paying off debt,592.0,11.45%,227xx,VA,1 year,0.0
2500.0,2008-06-24,Just need a little help to catch up,473.0,17.69%,740xx,OK,1 year,0.0
1000.0,2008-12-17,personal,504.0,0%,625xx,IL,1 year,0.0
10000.0,2007-12-06,dcas,755.0,25.67%,112xx,NY,10+ years,0.0
6000.0,2008-06-22,brannon's plastic loan,650.0,12.6%,741xx,OK,6 years,0.0
20000.0,2009-03-29,refinancing truck loan,674.0,0.78%,760xx,TX,1 year,0.0
7500.0,2008-09-25,Student Loan,714.0,6.36%,191xx,PA,< 1 year,0.0
15000.0,2007-12-11,debt_consolidation,647.0,19.67%,330xx,FL,4 years,0.0
1000.0,2008-01-29,nlron1978,637.0,28.93%,234xx,VA,5 years,0.0
2100.0,2008-01-17,dachipmunk,575.0,10.37%,914xx,CA,< 1 year,0.0
20000.0,2008-03-18,buy a new car,0.0,0%,300xx,GA,2 years,0.0
2500.0,2009-02-28,Brittney's Loan,537.0,333.6%,636xx,MO,< 1 year,0.0
10000.0,2008-11-09,chase is no help,610.0,33.79%,411xx,KY,1 year,0.0
4000.0,2009-02-03,Further Financial Funding for Schooling,522.0,83.28%,038xx,NH,< 1 year,0.0
10000.0,2008-03-24,Home Loan,434.0,18.19%,300xx,GA,3 years,0.0
15000.0,2009-02-11,Debt Consolidation,709.0,21.94%,186xx,PA,10+ years,0.0
1000.0,2009-03-15,My Electric will be cut off tomorrow,476.0,75.8%,731xx,OK,< 1 year,0.0
2000.0,2008-10-20,Divorce Lawyer,618.0,5.64%,616xx,IL,8 years,0.0
7500.0,2009-02-20,New Motorcycle,0.0,0%,260xx,WV,< 1 year,0.0
15000.0,2009-01-24,credit card debt,456.0,19.77%,378xx,TX,5 years,0.0
10700.0,2007-06-25,lynniea5,542.0,10.55%,201xx,VA,< 1 year,0.0
5000.0,2009-01-28,Sunrise Airbrushing,0.0,0%,327xx,FL,8 years,0.0
10000.0,2008-11-24,New furniture and Christmas Loan ,481.0,4.7%,921xx,CA,10+ years,0.0
7500.0,2008-10-13,rescue me from the cash call vampire,624.0,8.42%,307xx,GA,10+ years,0.0
9000.0,2009-02-22,Credit cards,685.0,46.3%,334xx,FL,4 years,0.0
1000.0,2009-01-15,I Want To Buy A New Refridgerator ,0.0,0%,302xx,GA,1 year,0.0
1200.0,2009-04-09,daughter needs surgery,533.0,11.35%,178xx,PA,1 year,0.0
5500.0,2008-12-16,PAY OFF DEBT,517.0,0%,462xx,IL,1 year,0.0
18000.0,2008-10-31,Business loan 1,771.0,19%,925xx,CA,10+ years,0.0
1000.0,2009-01-11,to fix car,425.0,132.74%,547xx,WI,< 1 year,0.0
600.0,2008-03-08,credit card debt,618.0,2.32%,606xx,IL,< 1 year,0.0
6000.0,2008-08-04,pay off credit cards,594.0,23.82%,283xx,NC,2 years,0.0
15000.0,2009-04-24,schooling,408.0,496.25%,857xx,AZ,< 1 year,0.0
